Concentration,Concentration [ug/mL],Time_min,RFU_Interpolated
0.3125 ug/mL,0.3125,6.87,9210.39311598707
0.3125 ug/mL,0.3125,6.8999999999999995,9210.39311598914
0.3125 ug/mL,0.3125,6.93,9210.393115990979
0.3125 ug/mL,0.3125,6.96,9210.393115992614
0.3125 ug/mL,0.3125,6.989999999999999,9210.39311599407
0.3125 ug/mL,0.3125,7.02,9210.393115995363
0.3125 ug/mL,0.3125,7.05,9210.393115996512
0.3125 ug/mL,0.3125,7.08,9210.393115997535
0.3125 ug/mL,0.3125,7.109999999999999,9210.393115998442
0.3125 ug/mL,0.3125,7.14,9210.393115999252
0.3125 ug/mL,0.3125,7.17,9210.393115999968
0.3125 ug/mL,0.3125,7.199999999999999,9210.393116000607
0.3125 ug/mL,0.3125,7.2299999999999995,9210.393116001174
0.3125 ug/mL,0.3125,7.26,9210.39311600168
0.3125 ug/mL,0.3125,7.29,9210.39311600213
0.3125 ug/mL,0.3125,7.319999999999999,9210.393116002528
0.3125 ug/mL,0.3125,7.35,9210.393116002882
0.3125 ug/mL,0.3125,7.38,9210.393116003197
0.3125 ug/mL,0.3125,7.41,9210.393116003477
0.3125 ug/mL,0.3125,7.4399999999999995,9210.393116003726
0.3125 ug/mL,0.3125,7.47,9210.393116003948
0.3125 ug/mL,0.3125,7.5,9210.393116004147
0.3125 ug/mL,0.3125,7.529999999999999,9210.393116004321
0.3125 ug/mL,0.3125,7.56,9210.393116004478
0.3125 ug/mL,0.3125,7.59,9210.393116004616
0.3125 ug/mL,0.3125,7.62,9210.39311600474
0.3125 ug/mL,0.3125,7.6499999999999995,9210.393116004849
0.3125 ug/mL,0.3125,7.68,9210.393116004945
0.3125 ug/mL,0.3125,7.71,9210.393116005032
0.3125 ug/mL,0.3125,7.739999999999999,9210.393116005109
0.3125 ug/mL,0.3125,7.77,9210.393116005178
0.3125 ug/mL,0.3125,7.8,9210.393116005238
0.3125 ug/mL,0.3125,7.83,9210.393116005293
0.3125 ug/mL,0.3125,7.859999999999999,9210.39311600534
0.3125 ug/mL,0.3125,7.89,9210.393116005383
0.3125 ug/mL,0.3125,7.92,9210.393116005422
0.3125 ug/mL,0.3125,7.949999999999999,9210.393116005454
0.3125 ug/mL,0.3125,7.9799999999999995,9210.393116005485
0.3125 ug/mL,0.3125,8.01,9210.393116005513
0.3125 ug/mL,0.3125,8.04,9210.393116005534
0.3125 ug/mL,0.3125,8.07,9210.393116005556
0.3125 ug/mL,0.3125,8.1,9210.393116005574
0.3125 ug/mL,0.3125,8.129999999999999,9210.39311600559
0.3125 ug/mL,0.3125,8.16,9210.393116005607
0.3125 ug/mL,0.3125,8.19,9210.39311600562
0.3125 ug/mL,0.3125,8.219999999999999,9210.39311600563
0.3125 ug/mL,0.3125,8.25,9210.393116005642
0.3125 ug/mL,0.3125,8.28,9210.39311600565
0.3125 ug/mL,0.3125,8.31,9210.393116005658
0.3125 ug/mL,0.3125,8.34,9210.393116005667
0.3125 ug/mL,0.3125,8.37,9210.393116005673
0.3125 ug/mL,0.3125,8.4,9210.39311600568
0.3125 ug/mL,0.3125,8.43,9210.393116005685
0.3125 ug/mL,0.3125,8.459999999999999,9210.393116005689
0.3125 ug/mL,0.3125,8.49,9210.393116005693
0.3125 ug/mL,0.3125,8.52,9210.393116005696
0.3125 ug/mL,0.3125,8.549999999999999,9210.3931160057
0.3125 ug/mL,0.3125,8.58,9210.393116005704
0.3125 ug/mL,0.3125,8.61,9210.393116005705
0.3125 ug/mL,0.3125,8.64,9210.393116005707
0.3125 ug/mL,0.3125,8.67,9210.393116005709
0.3125 ug/mL,0.3125,8.7,9210.39311600571
0.3125 ug/mL,0.3125,8.73,9210.393116005713
0.3125 ug/mL,0.3125,8.76,9210.393116005715
0.3125 ug/mL,0.3125,8.79,9210.393116005715
0.3125 ug/mL,0.3125,8.82,9210.393116005716
0.3125 ug/mL,0.3125,8.85,9210.393116005718
0.3125 ug/mL,0.3125,8.879999999999999,9210.393116005718
0.3125 ug/mL,0.3125,8.91,9210.39311600572
0.3125 ug/mL,0.3125,8.94,9210.39311600572
0.3125 ug/mL,0.3125,8.969999999999999,9210.39311600572
0.3125 ug/mL,0.3125,9.0,9210.393116005722
0.3125 ug/mL,0.3125,9.03,9210.393116005722
0.3125 ug/mL,0.3125,9.06,9210.393116005722
0.3125 ug/mL,0.3125,9.09,9210.393116005722
0.3125 ug/mL,0.3125,9.12,9210.393116005722
0.3125 ug/mL,0.3125,9.15,9210.393116005724
0.3125 ug/mL,0.3125,9.18,9210.393116005724
0.3125 ug/mL,0.3125,9.209999999999999,9210.393116005724
0.3125 ug/mL,0.3125,9.24,9210.393116005724
0.3125 ug/mL,0.3125,9.27,9210.393116005724
0.3125 ug/mL,0.3125,9.299999999999999,9210.393116005724
0.3125 ug/mL,0.3125,9.33,9210.393116005724
0.3125 ug/mL,0.3125,9.36,9210.393116005724
0.3125 ug/mL,0.3125,9.389999999999999,9210.393116005724
